Programme;Acronym;Project Partner;Lead Partner;Street;Postal code;Town;Country;Website;Department;Legal Status;Country code;NUTS1 (or equivalent);NUTS2 (or equivalent);NUTS3 (or equivalent)
2014 - 2020 INTERREG V-A Austria - Germany / Bavaria (Bayern - Österreich);Geschäftsstellenförderung;Regio Zugspitzregion e.V.;Yes;Olympiastrasse;82467;Garmisch-Partenkirchen;Germany;http://www.interreg-bayaut.net/;;public;DE Germany / DEUTSCHLAND;DE2  / BAYERN;DE21  / Oberbayern;DE21D  / Garmisch-Partenkirchen
2014 - 2020 INTERREG V-A Austria - Germany / Bavaria (Bayern - Österreich);Burgen Golling Tittmoning;Marktgemeinde Golling an der Salzach;Yes;Markt;5440;Golling;Austria;http://www.interreg-bayaut.net/;;public;AT Austria / ÖSTERREICH;AT3  / WESTÖSTERREICH;AT32  / Salzburg;AT323  / Salzburg und Umgebung
2014 - 2020 INTERREG V-A Austria - Hungary;femcoop PLUS;Innovation Region Styria LTD;Yes;Liebenauer Hauptstraße   2-6;8041;Graz;Austria;http://www.interreg-athu.eu/en/;;private;AT Austria / ÖSTERREICH;AT2  / SÜDÖSTERREICH;AT22  / Steiermark;AT221  / Graz
2014 - 2020 INTERREG V-A Austria - Hungary;BIG AT-HU;Federal Government of Lower-Austria;Yes;Landhausplatz 1;3109;St. Pölten;Austria;http://www.interreg-athu.eu/en/;;public;AT Austria / ÖSTERREICH;AT1  / OSTÖSTERREICH;AT12  / Niederösterreich;AT123  / Sankt Pölten
2014 - 2020 INTERREG V-A Austria - Hungary;ConnReg AT-HU;West Pannon Regional and Economic Development Public Nonprofit Ltd.;Yes;Horváth Boldizsár körút 9;9700;Szombathely;Hungary;http://www.interreg-athu.eu/en/;;public;HU Hungary / MAGYARORSZÁG;HU2  / DUNÁNTÚL;HU22  / Nyugat-Dunántúl;HU222  / Vas
2014 - 2020 INTERREG V-A Austria - Hungary;PLATFORM;North-Transdanubian Water Directorate;Yes;Árpád út  28-32.;9021;Győr;Hungary;http://www.interreg-athu.eu/en/;;public;HU Hungary / MAGYARORSZÁG;HU2  / DUNÁNTÚL;HU22  / Nyugat-Dunántúl;HU221  / Győr-Moson-Sopron
2014 - 2020 INTERREG V-A Austria - Hungary;REGIONET Competitive;Kisalföld Foundation for Enterprise Promotion;Yes;Czuczor G. 30.;9022;Győr;Hungary;http://www.interreg-athu.eu/en/;;private;HU Hungary / MAGYARORSZÁG;HU2  / DUNÁNTÚL;HU22  / Nyugat-Dunántúl;HU221  / Győr-Moson-Sopron
2014 - 2020 INTERREG V-A Austria - Hungary;InnoWood;Effix-Marketing Ltd.;Yes;Malompatak 13;9400;Sopron;Hungary;http://www.interreg-athu.eu/en/;;private;HU Hungary / MAGYARORSZÁG;HU2  / DUNÁNTÚL;HU22  / Nyugat-Dunántúl;HU221  / Győr-Moson-Sopron
2014 - 2020 INTERREG V-A Austria - Hungary;City Cooperation II;Styrian City Cooperation;Yes;Augustinerplatz 1;8280;Fürstenfeld;Austria;http://www.interreg-athu.eu/en/;;public;AT Austria / ÖSTERREICH;AT2  / SÜDÖSTERREICH;AT22  / Steiermark;AT224  / Oststeiermark
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);INSURE;County Administrative Board of Östergötland;Yes;Östgötagatan;581 86;LINKÖPING;Sweden;centralbaltic.eu/projects;Department of Environmental protection;public;SE Sweden / SVERIGE;SE1  / ÖSTRA SVERIGE;SE12  / Östra Mellansverige;SE123  / Östergötlands län
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);iWater;City of Riga (Riga City Council);Yes;Ratslaukums;LV–1539;Riga;Latvia;http://www.integratedstormwater.eu/;City Development Department;public;LV Latvia / LATVIJA;LV0  / LATVIJA;LV00  / Latvija;LV006  / Rīga
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);RIBS;City of Pargas;Yes;Strandvägen;21600;Pargas;Finland;http://centralbaltic.eu/projects;Department of business development;public;FI Finland / SUOMI / FINLAND;FI1  / MANNER-SUOMI;FI1C  / Etelä-Suomi;FI1C1  / Varsinais-Suomi
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);TheatreEx;Foundation Open Space;Yes;Telliskivi 60a;10412;Tallinn;Estonia;centralbaltic.eu/projects;;private;EE Estonia / EESTI;EE0  / EESTI;EE00  / Eesti;EE001  / Põhja-Eesti
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);SmartPorts;Estonian Small Harbour Development Center;Yes;Lootsi;80012;Pärnu;Estonia;https://marinamia.eu/home;;private;EE Estonia / EESTI;EE0  / EESTI;EE00  / Eesti;EE004  / Lääne-Eesti
