"NUTS_ID";"STAT_LEVL_";"SHAPE_AREA";"SHAPE_LEN";"TYPE";"n";"HTYPO";"TYPO"
"AT11";2;0,47355112086;7,05970343489;"Transition regions";199;FALSE;4
"AT22";2;1,95107225526;9,22424727868;"More developed regions";393;FALSE;2
"AT12";2;2,32631805151;11,9031564038;"More developed regions";612;FALSE;2
"AT13";2;0,04984959062;1,34273957851;"More developed regions";701;FALSE;2
"AT21";2;1,12383492767;7,23347577152;"More developed regions";259;FALSE;2
"AT31";2;1,44816965541;9,05992138981;"More developed regions";357;FALSE;2
"AT32";2;0,85282834381;8,11094983318;"More developed regions";181;FALSE;2
"BE21";2;0,36967018325;4,0957586471;"More developed regions";243;FALSE;2
"BE22";2;0,31061510108;4,1354338549;"More developed regions";215;FALSE;2
"AT33";2;1,50160408237;11,0688833104;"More developed regions";284;FALSE;2
"AT34";2;0,31131925891;3,4408953257;"More developed regions";273;FALSE;2
"BE10";2;0,02082117843;0,748020341;"More developed regions";318;FALSE;2
"BE23";2;0,38556706193;4,24719556979;"More developed regions";357;FALSE;2
"BE25";2;0,40624553343;3,81836317041;"More developed regions";561;FALSE;2
"BE31";2;0,1395244576;2,7957242218;"More developed regions";20;FALSE;2
"BE32";2;0,48233510434;6,58550285784;"Transition regions";229;FALSE;4
"BE24";2;0,27045113077;5,07494248323;"More developed regions";144;FALSE;2
"BE33";2;0,48931586862;5,45486444456;"Transition regions";316;FALSE;4
"BE34";2;0,55906176039;5,29974091702;"Transition regions";165;FALSE;4
"BE35";2;0,46334428405;5,4651216257;"Transition regions";125;FALSE;4
"BG32";2;1,64737276764;10,5209778592;"Less developed regions";196;FALSE;1
"BG34";2;2,16796061855;12,0476501909;"Less developed regions";118;FALSE;1
"BG31";2;2,11941055469;10,1190471803;"Less developed regions";250;FALSE;1
"BG41";2;2,217330838;10,0219021811;"Less developed regions";660;FALSE;1
"BG33";2;1,62651684612;9,28384068495;"Less developed regions";134;FALSE;1
"BG42";2;2,42725988243;11,5952095695;"Less developed regions";214;FALSE;1
"CZ01";2;0,06235578556;1,66504071927;"More developed regions";192;FALSE;2
"CY00";2;0,91381830618;6,67702038473;"More developed regions";324;FALSE;2
"CZ02";2;1,38151325357;10,6213123525;"Less developed regions";22;FALSE;1
"CZ03";2;2,17861418254;11,8729260902;"Less developed regions";1060;FALSE;1
"CZ04";2;1,09403837511;9,10456668257;"Less developed regions";320;FALSE;1
"CZ05";2;1,56936052233;10,4378809617;"More developed regions";536;FALSE;2
"CZ07";2;1,14680905559;8,69122331923;"Less developed regions";436;FALSE;1
"CZ08";2;0,67763884974;6,21316028605;"Less developed regions";464;FALSE;1
"CZ06";2;1,72746067776;10,0672030258;"Less developed regions";650;FALSE;1
"CH01";2;1,01829801898;11,2776906528;"NULL";202;FALSE;3
"CH02";2;1,18790918649;10,9314357802;"NULL";144;FALSE;3
"CH03";2;0,23357640228;5,14143581299;"NULL";142;FALSE;3
"CH04";2;0,20603736876;2,93664916058;"NULL";77;FALSE;3
"CH05";2;1,36134853551;11,7479253749;"NULL";422;FALSE;3
"CH06";2;0,52969355326;4,72038932919;"NULL";19;FALSE;3
"CH07";2;0,32841437542;3,56721575738;"NULL";227;FALSE;3
"DE12";2;0,85058801795;8,6145497851;"More developed regions";224;FALSE;2
"DE11";2;1,29754109637;9,91827228787;"More developed regions";209;FALSE;2
"DEA1";2;0,68414095327;5,40958588364;"More developed regions";412;FALSE;2
"DEB3";2;0,84955043535;6,00973442709;"More developed regions";240;FALSE;2
"DEA5";2;1,03321133871;7,3257526789;"More developed regions";66;FALSE;2
"DED4";2;0,8303936599;7,12392984219;"Transition regions";181;FALSE;4
"DED5";2;0,51323277023;4,1944130995;"More developed regions";85;FALSE;2
"DEF0";2;2,16287849663;17,4034195001;"More developed regions";599;FALSE;2
"DEE0";2;2,68970866709;12,5283936436;"Transition regions";97;FALSE;4
"DEG0";2;2,07152362474;13,0542593861;"Transition regions";63;FALSE;4
"DK01";2;0,36796997812;6,19139419285;"More developed regions";442;FALSE;2
"DE93";2;2,09372508508;10,3108865554;"Transition regions";69;FALSE;4
"DEB1";2;1,01796267699;8,081016717;"More developed regions";40;FALSE;2
"DEA2";2;0,93916189903;7,57058643447;"More developed regions";325;FALSE;2
"DEC0";2;0,31841618305;3,80573889389;"More developed regions";178;FALSE;2
"DE94";2;2,00670720972;12,9422095335;"More developed regions";324;FALSE;2
"DEA3";2;0,90456362116;6,97758869068;"More developed regions";579;FALSE;2
"DEB2";2;0,6176369228;5,09302557846;"More developed regions";113;FALSE;2
"DED2";2;1,02101188094;7,00809638746;"Transition regions";372;FALSE;4
"DEA4";2;0,85271385471;6,65751619054;"More developed regions";22;FALSE;2
