"";"lon";"lat";"type";"loctype";"address";"north";"south";"east";"west";"Location"
"3758";13,2324998;46,0659774;"premise";"rooftop";"via palladio, 8, 33100 udine ud, italy";46,0674093302915;46,0647113697085;13,2340695802915;13,2313716197085;"via palladio 8, 33100  udine, italy"
"3759";13,409413;45,791192;"street_address";"rooftop";"via antonio gramsci, 8, 33050 san valentino ud, italy";45,7925409802915;45,7898430197085;13,4107619802915;13,4080640197085;"via gramsci, 8, 33050 fiumicello, italy"
"3760";13,5277279;45,8098463;"street_address";"rooftop";"via duca d'aosta, 34, 34074 monfalcone go, italy";45,8111952802915;45,8084973197085;13,5290768802915;13,5263789197085;"via duca d'aosta, 34, 34074 monfalcone, italy"
"3761";13,7773737;45,6540367;"premise";"rooftop";"via cesare beccaria, 6, 34133 trieste ts, italy";45,6553756802915;45,6526777197085;13,7787788802915;13,7760809197085;"via beccaria 6, 34133  trieste, italy"
"3762";12,2671021;45,691553;"street_address";"rooftop";"via cal di breda, 116, 31100 treviso tv, italy";45,6929019802915;45,6902040197085;12,2684510802915;12,2657531197085;"via cal di breda, 116, 31100 treviso, italy"
"3763";13,6783231;45,5390139;"street_address";"rooftop";"polje 35, 6310 izola - isola, slovenia";45,5403628802915;45,5376649197085;13,6796720802915;13,6769741197085;"polje 35, 6310 izola, slovenia"
"3764";13,6062179;45,8920406;"street_address";"rooftop";"miren 137, 5291 miren, slovenia";45,8933895802915;45,8906916197085;13,6075668802915;13,6048689197085;"miren 137, 5291 miren, slovenia"
"3765";13,7768182;45,6495264;"locality";"approximate";"trieste, uti giuliana, italy";45,697797;45,6068433;13,8354566;13,7318673;"ul. s.francesco 20, 34100 trieste, italy"
"3766";13,7285764;45,5474661;"street_address";"rooftop";"garibaldijeva ulica 1, 6000 koper - capodistria, slovenia";45,5488150802915;45,5461171197085;13,7299253802915;13,7272274197085;"garibaldijeva 1, 6000 koper, slovenia"
"3767";14,5207763;46,0522275;"street_address";"rooftop";"zaloška cesta 2, 1000 ljubljana, slovenia";46,0535764802915;46,0508785197085;14,5221252802915;14,5194273197085;"zaloška cesta 2, 1000 ljubljana, slovenia"
"3768";12,1141336;45,4974659;"street_address";"rooftop";"via luigi mariutto, 76, 30035 mirano ve, italy";45,4988148802915;45,4961169197085;12,1154825802915;12,1127846197085;"via l. mariutto, 76, 30035 mirano, italy"
"3769";13,7897199;45,640141;"street_address";"rooftop";"piazza dei foraggi, 6, 34139 trieste ts, italy";45,6414899802915;45,6387920197085;13,7910688802915;13,7883709197085;"piazza dei foraggi n. 6, 34139 trieste, italy"
"3770";12,2832952;45,1984878;"street_address";"rooftop";"str. madonna marina, 500, 30015 chioggia ve, italy";45,1998367802915;45,1971388197085;12,2846441802915;12,2819462197085;"strada madonna marina, 500 , 30015 sottomarina di chioggia, italy"
"3771";12,3246165;45,4327573;"postal_code";"approximate";"30123 venice, metropolitan city of venice, italy";45,4371261;45,428377;12,337249;12,3115881;", 30123 venezia, italy"
"3772";13,764322;45,709329;"street_address";"range_interpolated";"borgo grotta gigante, 42, 34010 borgo grotta gigante ts, italy";45,7106779802915;45,7079800197085;13,7656709802915;13,7629730197085;"borgo grotta gigante 42/c, 34010 sgonico, italy"
"3773";13,7297935;45,5491275;"street_address";"rooftop";"verdijeva ulica 10, 6000 koper - capodistria, slovenia";45,5504764802915;45,5477785197085;13,7311424802915;13,7284445197085;"verdijeva 10, 6000 koper/capodistria, slovenia"
"3774";13,7799924;45,6530922;"establishment";"rooftop";"via gaetano donizetti, 3, 34133 trieste ts, italy";45,6544411802915;45,6517432197085;13,7813413802915;13,7786434197085;"ul. donizetti 3 , 34133 trieste, italy"
"3775";13,5787441;46,2473739;"street_address";"rooftop";"trg svobode 2, 5222 kobarid, slovenia";46,2487228802915;46,2460249197085;13,5800930802915;13,5773951197085;"trg svobode 2, 5222 kobarid, slovenia"
"3776";13,766755;45,6499198;"street_address";"rooftop";"piazza unità d'italia, 1, 34121 trieste ts, italy";45,6512687802915;45,6485708197085;13,7681039802915;13,7654060197085;"piazza unità d'italia 1, 34121 trieste, italy"
"3777";13,732145;45,5484311;"street_address";"rooftop";"cankarjeva ulica 5, 6000 koper - capodistria, slovenia";45,5497800802915;45,5470821197085;13,7334939802915;13,7307960197085;"cankarjeva 5, 6000 koper, slovenia"
"3778";13,7734016;45,6803971;"street_address";"rooftop";"via bonomea, 265, 34151 trieste ts, italy";45,6817460802915;45,6790481197085;13,7747505802915;13,7720526197085;"via bonomea, 265, 34136 trieste, italy"
"3779";13,2297715;46,0610408;"premise";"rooftop";"via daniele cernazai, 8, 33100 udine ud, italy";46,0624401302915;46,0597421697085;13,2310775302915;13,2283795697085;"via d. cernazai, 8, 33100 udine, italy"
"3780";13,8631874;45,6403674;"route";"geometric_center";"ss14, basovizza ts, italy";45,6406383302915;45,6379403697085;13,8701585;13,8545606;"strada statale 14, 34149  basovizza, italy"
"3781";13,4795886;46,0460943;"street_address";"rooftop";"via xxiv maggio, 19, 33040 prepotto ud, italy";46,0474432802915;46,0447453197085;13,4809375802915;13,4782396197085;"via xxiv maggio 19, 33040 prepotto, italy"
"3782";13,6453813;45,9547952;"street_address";"rooftop";"delpinova ulica 12, 5000 nova gorica, slovenia";45,9561441802915;45,9534462197085;13,6467302802915;13,6440323197085;"delpinova ulica 12, 5000 nova gorica, slovenia"
"3783";13,7295555;45,5479771;"street_address";"rooftop";"titov trg 4, 6000 koper - capodistria, slovenia";45,5493260802915;45,5466281197085;13,7309044802915;13,7282065197085;"titov trg 4, 6000 koper, slovenia"
"3784";8,8997015;44,4075976;"postal_code";"approximate";"16149 genoa, metropolitan city of genoa, italy";44,4246041;44,388067;8,940342;8,8757231;", 16149 genova, italy"
"3785";12,312702;45,4313686;"establishment";"rooftop";"fabbricato 13, santa marta, 30135 venezia ve, italy";45,4327175802915;45,4300196197085;12,3140509802915;12,3113530197085;"zona portuale s. marta, fabbricato n. 13, 30123 venezia, italy"
"3786";13,2297715;46,0610408;"premise";"rooftop";"via daniele cernazai, 8, 33100 udine ud, italy";46,0624401302915;46,0597421697085;13,2310775302915;13,2283795697085;"via d. cernazai, 8 , 33100 udine, italy"
"3787";22,8427524;66,3271757;"locality";"approximate";"956 31 överkalix, sweden";66,3302801;66,3083349;22,8655908;22,8303299;", 95681 överkalix, sweden"
"3788";23,1250337;63,8415002;"locality";"approximate";"kokkola, finland";63,8659201;63,8321895;23,1795423;23,0784998;", 67100 karleby, finland"
"3789";20,6593618;67,1379;"locality";"approximate";"gällivare, sweden";67,155254;67,123769;20,708743;20,6158541;", 98281 gällivare, sweden"
"3790";17,8900542;66,0515051;"locality";"approximate";"arjeplog, sweden";66,055824;66,03603;17,9137617;17,8361258;", 93090 arjeplog, sweden"
"3791";27,5397058;68,6576419;"neighborhood";"approximate";"ivalo, 99800 inari, finland";68,6720403;68,6364012;27,57995;27,517817;", 99800 ivalo, finland"
